Intermediate Point,Latitude,Longitude
Sust,24.91105,91.832375
Subidbazar,24.907086,91.860828
Lama Bazar,24.896158,91.861458
Jitu Miya,24.890506,91.860047
Kin Bridge,24.890386,91.867886
